instance,run,agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
cubic_1200.txt,2,ACO,19,32,32,1050.000000000,22.873999834
cubic_1200.txt,2,Tabu Search,4,80,79,1318.000000000,0.044999838
cubic_1200.txt,2,RVNS,5,80,79,1319.000000000,0.065999985
cubic_1200.txt,2,HHO,5,8,8,1059.000000000,23.032999992
cubic_1200.txt,3,ACO,19,32,32,1041.000000000,25.521000147
cubic_1200.txt,3,Tabu Search,3,80,79,1317.000000000,0.077000141
cubic_1200.txt,3,RVNS,7,80,79,1316.000000000,0.050000191
cubic_1200.txt,3,HHO,4,8,8,1058.000000000,8.139000177
cubic_1200.txt,4,ACO,16,32,32,1043.000000000,10.323999882
cubic_1200.txt,4,Tabu Search,6,80,79,1334.000000000,0.029999971
cubic_1200.txt,4,RVNS,4,80,79,1334.000000000,0.053999901
cubic_1200.txt,4,HHO,3,8,8,1051.000000000,5.277999878
cubic_1200.txt,5,ACO,14,33,33,1041.000000000,25.677000046
cubic_1200.txt,5,Tabu Search,4,80,79,1331.000000000,0.089999914
cubic_1200.txt,5,RVNS,7,80,79,1330.000000000,0.114000082
cubic_1200.txt,5,HHO,4,8,8,1049.000000000,23.443000078
cubic_1200.txt,6,ACO,16,32,32,1041.000000000,24.048999786
cubic_1200.txt,6,Tabu Search,5,80,79,1320.000000000,0.046000004
cubic_1200.txt,6,RVNS,4,80,79,1320.000000000,0.075999975
cubic_1200.txt,6,HHO,4,8,8,1047.000000000,2.716999769
cubic_1200.txt,7,ACO,10,33,33,1048.000000000,22.526000023
cubic_1200.txt,7,Tabu Search,5,80,79,1348.000000000,0.009000063
cubic_1200.txt,7,RVNS,3,80,79,1348.000000000,0.023000002
cubic_1200.txt,7,HHO,5,8,8,1046.000000000,23.872999907
cubic_1200.txt,8,ACO,13,33,33,1036.000000000,9.782999992
cubic_1200.txt,8,Tabu Search,8,80,79,1289.000000000,0.069999933
cubic_1200.txt,8,RVNS,5,80,79,1289.000000000,0.098000050
cubic_1200.txt,8,HHO,4,8,8,1048.000000000,27.684000015
cubic_1200.txt,9,ACO,16,33,33,1046.000000000,21.757999897
cubic_1200.txt,9,Tabu Search,7,80,79,1333.000000000,0.127000093
cubic_1200.txt,9,RVNS,6,80,79,1335.000000000,0.068000078
cubic_1200.txt,9,HHO,4,8,8,1048.000000000,26.697000027
cubic_1200.txt,10,ACO,16,32,32,1039.000000000,26.865000010
cubic_1200.txt,10,Tabu Search,6,80,79,1317.000000000,0.118000031
cubic_1200.txt,10,RVNS,6,80,79,1317.000000000,0.023000002
cubic_1200.txt,10,HHO,4,8,8,1064.000000000,15.803999901
cubic_1300.txt,1,ACO,19,34,34,1138.000000000,14.876999855
cubic_1300.txt,1,Tabu Search,4,80,79,1408.000000000,0.036999941
cubic_1300.txt,1,RVNS,8,80,79,1407.000000000,0.015999794
cubic_1300.txt,1,HHO,3,8,8,1159.000000000,21.407999992
cubic_1300.txt,2,ACO,21,35,35,1136.000000000,25.637000084
cubic_1300.txt,2,Tabu Search,7,80,79,1442.000000000,0.104000092
cubic_1300.txt,2,RVNS,4,80,79,1441.000000000,0.148000002
cubic_1300.txt,2,HHO,3,8,8,1151.000000000,16.819999933
cubic_1300.txt,3,ACO,15,35,35,1136.000000000,15.562000036
cubic_1300.txt,3,Tabu Search,9,80,79,1434.000000000,0.080999851
cubic_1300.txt,3,RVNS,3,80,79,1436.000000000,0.016999960
cubic_1300.txt,3,HHO,2,8,8,1148.000000000,25.225999832
cubic_1300.txt,4,ACO,20,35,35,1126.000000000,19.420000076
cubic_1300.txt,4,Tabu Search,5,80,79,1430.000000000,0.076000214
cubic_1300.txt,4,RVNS,9,80,79,1429.000000000,0.107000113
cubic_1300.txt,4,HHO,3,8,8,1142.000000000,29.492000103
cubic_1300.txt,5,ACO,15,34,34,1137.000000000,11.759000063
cubic_1300.txt,5,Tabu Search,6,80,79,1434.000000000,0.068000078
cubic_1300.txt,5,RVNS,4,80,79,1434.000000000,0.088999987
cubic_1300.txt,5,HHO,2,8,8,1143.000000000,9.197000027
cubic_1300.txt,6,ACO,25,35,35,1133.000000000,22.847000122
cubic_1300.txt,6,Tabu Search,5,80,79,1437.000000000,0.074000120
cubic_1300.txt,6,RVNS,6,80,79,1438.000000000,0.070000172
cubic_1300.txt,6,HHO,5,8,8,1146.000000000,16.726999998
cubic_1300.txt,7,ACO,18,35,35,1145.000000000,18.384000063
cubic_1300.txt,7,Tabu Search,6,80,79,1438.000000000,0.013999939
cubic_1300.txt,7,RVNS,6,80,79,1439.000000000,0.128000021
cubic_1300.txt,7,HHO,5,8,8,1151.000000000,24.819999933
cubic_1300.txt,8,ACO,13,35,35,1127.000000000,27.863000154
cubic_1300.txt,8,Tabu Search,5,80,79,1415.000000000,0.115000010
cubic_1300.txt,8,RVNS,8,80,79,1415.000000000,0.147000074
cubic_1300.txt,8,HHO,3,8,8,1123.000000000,28.962000132
cubic_1300.txt,9,ACO,15,35,35,1140.000000000,18.420000076
cubic_1300.txt,9,Tabu Search,4,80,79,1419.000000000,0.033999920
cubic_1300.txt,9,RVNS,7,80,79,1417.000000000,0.075999975
cubic_1300.txt,9,HHO,4,8,8,1151.000000000,20.673000097
cubic_1300.txt,10,ACO,22,35,35,1134.000000000,30.277999878
cubic_1300.txt,10,Tabu Search,6,80,79,1425.000000000,0.115999937
cubic_1300.txt,10,RVNS,5,80,79,1425.000000000,0.122999907
cubic_1300.txt,10,HHO,4,8,8,1152.000000000,21.414000034
cubic_1400.txt,1,ACO,21,36,36,1220.000000000,17.956000090
cubic_1400.txt,1,Tabu Search,5,80,79,1563.000000000,0.101999998
cubic_1400.txt,1,RVNS,5,80,79,1564.000000000,0.054000139
cubic_1400.txt,1,HHO,3,8,8,1239.000000000,9.749000072
cubic_1400.txt,2,ACO,22,37,37,1215.000000000,23.099999905
cubic_1400.txt,2,Tabu Search,7,80,79,1561.000000000,0.022000074
cubic_1400.txt,2,RVNS,4,80,79,1559.000000000,0.055000067
cubic_1400.txt,2,HHO,3,8,8,1235.000000000,9.895999908
cubic_1400.txt,3,ACO,26,36,36,1206.000000000,29.454999924
cubic_1400.txt,3,Tabu Search,7,80,79,1549.000000000,0.026000023
cubic_1400.txt,3,RVNS,5,80,79,1550.000000000,0.016999960
cubic_1400.txt,3,HHO,2,8,8,1229.000000000,31.016999960
cubic_1400.txt,4,ACO,22,36,36,1205.000000000,27.040999889
cubic_1400.txt,4,Tabu Search,7,80,79,1541.000000000,0.168999910
cubic_1400.txt,4,RVNS,5,80,79,1541.000000000,0.105000019
cubic_1400.txt,4,HHO,5,8,8,1218.000000000,18.141000032
cubic_1400.txt,5,ACO,15,36,36,1220.000000000,20.294000149
cubic_1400.txt,5,Tabu Search,6,80,79,1535.000000000,0.042000055
cubic_1400.txt,5,RVNS,3,80,79,1537.000000000,0.030000210
cubic_1400.txt,5,HHO,3,8,8,1227.000000000,18.142000198
cubic_1400.txt,6,ACO,22,36,36,1227.000000000,23.621000051
cubic_1400.txt,6,Tabu Search,7,80,79,1534.000000000,0.058000088
cubic_1400.txt,6,RVNS,6,80,79,1533.000000000,0.111000061
cubic_1400.txt,6,HHO,4,8,8,1236.000000000,14.117000103
cubic_1400.txt,7,ACO,23,37,37,1222.000000000,29.938999891
cubic_1400.txt,7,Tabu Search,8,80,79,1559.000000000,0.146999836
cubic_1400.txt,7,RVNS,5,80,79,1561.000000000,0.032999992
cubic_1400.txt,7,HHO,1,8,8,1248.000000000,18.394999981
cubic_1400.txt,8,ACO,18,36,36,1220.000000000,18.821000099
cubic_1400.txt,8,Tabu Search,7,80,79,1567.000000000,0.148999929
cubic_1400.txt,8,RVNS,3,80,79,1567.000000000,0.167000055
cubic_1400.txt,8,HHO,4,8,8,1226.000000000,21.677999973
cubic_1400.txt,9,ACO,18,36,36,1227.000000000,31.500999928
cubic_1400.txt,9,Tabu Search,4,80,79,1549.000000000,0.078999996
cubic_1400.txt,9,RVNS,4,80,79,1549.000000000,0.055999994
cubic_1400.txt,9,HHO,2,8,8,1246.000000000,26.360000134
cubic_1400.txt,10,ACO,20,36,36,1222.000000000,23.073999882
cubic_1400.txt,10,Tabu Search,3,80,79,1534.000000000,0.148999929
cubic_1400.txt,10,RVNS,6,80,79,1534.000000000,0.109999895
cubic_1400.txt,10,HHO,4,8,8,1237.000000000,9.415999889
cubic_1500.txt,1,ACO,20,38,38,1309.000000000,33.301000118
cubic_1500.txt,1,Tabu Search,6,80,79,1663.000000000,0.019999981
cubic_1500.txt,1,RVNS,6,80,79,1662.000000000,0.023000002
cubic_1500.txt,1,HHO,5,8,8,1314.000000000,23.758000135
cubic_1500.txt,2,ACO,17,38,38,1308.000000000,31.257999897
cubic_1500.txt,2,Tabu Search,8,80,79,1674.000000000,0.105000019
cubic_1500.txt,2,RVNS,6,80,79,1676.000000000,0.019000053
cubic_1500.txt,2,HHO,2,8,8,1333.000000000,7.299000025
cubic_1500.txt,3,ACO,14,39,39,1308.000000000,9.069000006
cubic_1500.txt,3,Tabu Search,6,80,79,1665.000000000,0.092000008
cubic_1500.txt,3,RVNS,6,80,79,1665.000000000,0.047999859
cubic_1500.txt,3,HHO,4,8,8,1308.000000000,14.693000078
cubic_1500.txt,4,ACO,18,38,38,1313.000000000,33.205000162
cubic_1500.txt,4,Tabu Search,6,80,79,1625.000000000,0.042000055
cubic_1500.txt,4,RVNS,6,80,79,1623.000000000,0.088000059
cubic_1500.txt,4,HHO,4,8,8,1316.000000000,10.499000072
cubic_1500.txt,5,ACO,18,38,38,1298.000000000,32.211000204
cubic_1500.txt,5,Tabu Search,6,80,79,1657.000000000,0.013000011
cubic_1500.txt,5,RVNS,4,80,79,1656.000000000,0.047000170
cubic_1500.txt,5,HHO,3,8,8,1316.000000000,10.718000174
cubic_1500.txt,6,ACO,22,38,38,1314.000000000,25.190000057
cubic_1500.txt,6,Tabu Search,6,80,79,1680.000000000,0.134000063
cubic_1500.txt,6,RVNS,4,80,79,1680.000000000,0.032999992
cubic_1500.txt,6,HHO,3,8,8,1341.000000000,6.691999912
cubic_1500.txt,7,ACO,17,38,38,1310.000000000,33.316999912
cubic_1500.txt,7,Tabu Search,6,80,79,1664.000000000,0.033999920
cubic_1500.txt,7,RVNS,3,80,79,1668.000000000,0.040999889
cubic_1500.txt,7,HHO,5,8,8,1309.000000000,15.026999950
cubic_1500.txt,8,ACO,23,38,38,1296.000000000,33.441999912
cubic_1500.txt,8,Tabu Search,3,80,79,1649.000000000,0.072000027
cubic_1500.txt,8,RVNS,11,80,79,1647.000000000,0.032000065
cubic_1500.txt,8,HHO,2,8,8,1332.000000000,33.838000059
cubic_1500.txt,9,ACO,18,38,38,1302.000000000,26.224999905
cubic_1500.txt,9,Tabu Search,3,80,79,1667.000000000,0.082000017
cubic_1500.txt,9,RVNS,6,80,79,1666.000000000,0.184000015
cubic_1500.txt,9,HHO,2,8,8,1314.000000000,6.737999916
cubic_1500.txt,10,ACO,19,37,37,1308.000000000,28.679000139
cubic_1500.txt,10,Tabu Search,5,80,79,1688.000000000,0.056999922
cubic_1500.txt,10,RVNS,6,80,79,1686.000000000,0.036999941
cubic_1500.txt,10,HHO,2,8,8,1329.000000000,32.946000099
cubic_1600.txt,1,ACO,17,39,39,1387.000000000,22.738999844
cubic_1600.txt,1,Tabu Search,7,80,79,1767.000000000,0.029000044
cubic_1600.txt,1,RVNS,4,80,79,1768.000000000,0.016000032
cubic_1600.txt,1,HHO,3,8,8,1408.000000000,7.605999947
cubic_1600.txt,2,ACO,20,39,39,1391.000000000,31.764999866
cubic_1600.txt,2,Tabu Search,4,80,79,1784.000000000,0.118999958
cubic_1600.txt,2,RVNS,7,80,79,1783.000000000,0.036000013
cubic_1600.txt,2,HHO,3,8,8,1404.000000000,35.586999893
cubic_1600.txt,3,ACO,20,39,39,1405.000000000,19.045000076
cubic_1600.txt,3,Tabu Search,6,80,79,1762.000000000,0.036999941
cubic_1600.txt,3,RVNS,6,80,79,1761.000000000,0.095999956
cubic_1600.txt,3,HHO,1,8,8,1435.000000000,3.752000093
cubic_1600.txt,4,ACO,18,40,40,1391.000000000,17.818000078
cubic_1600.txt,4,Tabu Search,7,80,79,1759.000000000,0.040999889
cubic_1600.txt,4,RVNS,4,80,79,1759.000000000,0.105000019
cubic_1600.txt,4,HHO,4,8,8,1397.000000000,35.332000017
cubic_1600.txt,5,ACO,18,39,39,1408.000000000,14.826999903
cubic_1600.txt,5,Tabu Search,6,80,79,1722.000000000,0.065000057
cubic_1600.txt,5,RVNS,5,80,79,1721.000000000,0.056999922
cubic_1600.txt,5,HHO,4,8,8,1413.000000000,24.507999897
