instance,elapsed_seconds,mean_global_best,min_global_best,max_global_best,runs_with_value
cubic_2000.txt,33.76073999376,1747.1,1736.0,1757.0,10
cubic_2000.txt,34.19356999368,1747.1,1736.0,1757.0,10
cubic_2000.txt,34.626399993599996,1747.1,1736.0,1757.0,10
cubic_2000.txt,35.059229993520006,1746.8,1736.0,1754.0,10
cubic_2000.txt,35.49205999344,1746.8,1736.0,1754.0,10
cubic_2000.txt,35.924889993360004,1746.2,1736.0,1754.0,10
cubic_2000.txt,36.35771999328,1745.0,1736.0,1754.0,10
cubic_2000.txt,36.7905499932,1745.0,1736.0,1754.0,10
cubic_2000.txt,37.223379993120005,1745.0,1736.0,1754.0,10
cubic_2000.txt,37.65620999304,1745.0,1736.0,1754.0,10
cubic_2000.txt,38.089039992960004,1745.0,1736.0,1754.0,10
cubic_2000.txt,38.52186999288,1744.9,1736.0,1754.0,10
cubic_2000.txt,38.9546999928,1744.1,1736.0,1752.0,10
cubic_2000.txt,39.387529992720005,1743.8,1736.0,1752.0,10
cubic_2000.txt,39.82035999264,1743.1,1730.0,1752.0,10
cubic_2000.txt,40.25318999256,1742.9,1730.0,1750.0,10
cubic_2000.txt,40.68601999248,1742.7,1730.0,1750.0,10
cubic_2000.txt,41.1188499924,1742.7,1730.0,1750.0,10
cubic_2000.txt,41.551679992320004,1742.7,1730.0,1750.0,10
cubic_2000.txt,41.98450999224,1742.7,1730.0,1750.0,10
cubic_2000.txt,42.41733999216,1742.7,1730.0,1750.0,10
cubic_2000.txt,42.85016999208,1742.4,1730.0,1750.0,10
cubic_2000.txt,43.28299999200001,1742.0,1730.0,1749.0,10
cubic_2100.txt,0.0,nan,nan,nan,0
cubic_2100.txt,0.46403000116000004,2315.5,2290.0,2349.0,10
cubic_2100.txt,0.9280600023200001,2315.5,2290.0,2349.0,10
cubic_2100.txt,1.3920900034800001,2278.9,2261.0,2324.0,10
cubic_2100.txt,1.8561200046400002,2271.2,2261.0,2279.0,10
cubic_2100.txt,2.3201500058,2261.8,2237.0,2279.0,10
cubic_2100.txt,2.7841800069600002,2256.3,2237.0,2268.0,10
cubic_2100.txt,3.24821000812,2251.9,2232.0,2266.0,10
cubic_2100.txt,3.7122400092800003,2246.8,2231.0,2261.0,10
cubic_2100.txt,4.17627001044,2244.2,2231.0,2255.0,10
cubic_2100.txt,4.6403000116,2166.5,1859.0,2253.0,10
cubic_2100.txt,5.10433001276,1980.1,1859.0,2252.0,10
cubic_2100.txt,5.5683600139200005,1868.8,1859.0,1886.0,10
cubic_2100.txt,6.03239001508,1868.8,1859.0,1886.0,10
cubic_2100.txt,6.49642001624,1868.8,1859.0,1886.0,10
cubic_2100.txt,6.9604500173999995,1868.8,1859.0,1886.0,10
cubic_2100.txt,7.424480018560001,1866.4,1857.0,1886.0,10
cubic_2100.txt,7.888510019720001,1866.3,1857.0,1886.0,10
cubic_2100.txt,8.35254002088,1865.5,1855.0,1886.0,10
cubic_2100.txt,8.81657002204,1864.3,1845.0,1886.0,10
cubic_2100.txt,9.2806000232,1860.0,1845.0,1886.0,10
cubic_2100.txt,9.74463002436,1858.6,1845.0,1886.0,10
cubic_2100.txt,10.20866002552,1854.5,1835.0,1871.0,10
cubic_2100.txt,10.67269002668,1853.6,1835.0,1871.0,10
cubic_2100.txt,11.136720027840001,1852.8,1835.0,1871.0,10
cubic_2100.txt,11.600750029,1852.8,1835.0,1871.0,10
cubic_2100.txt,12.06478003016,1852.2,1835.0,1871.0,10
cubic_2100.txt,12.528810031319999,1851.7,1835.0,1871.0,10
cubic_2100.txt,12.99284003248,1851.7,1835.0,1871.0,10
cubic_2100.txt,13.45687003364,1850.8,1835.0,1871.0,10
cubic_2100.txt,13.920900034799999,1850.8,1835.0,1871.0,10
cubic_2100.txt,14.384930035960002,1850.8,1835.0,1871.0,10
cubic_2100.txt,14.848960037120001,1850.8,1835.0,1871.0,10
cubic_2100.txt,15.312990038279999,1850.2,1835.0,1871.0,10
cubic_2100.txt,15.777020039440002,1850.2,1835.0,1871.0,10
cubic_2100.txt,16.2410500406,1849.7,1835.0,1871.0,10
cubic_2100.txt,16.70508004176,1849.7,1835.0,1871.0,10
cubic_2100.txt,17.16911004292,1849.7,1835.0,1871.0,10
cubic_2100.txt,17.63314004408,1849.7,1835.0,1871.0,10
cubic_2100.txt,18.09717004524,1849.7,1835.0,1871.0,10
cubic_2100.txt,18.5612000464,1849.1,1835.0,1871.0,10
cubic_2100.txt,19.02523004756,1849.1,1835.0,1871.0,10
cubic_2100.txt,19.48926004872,1849.1,1835.0,1871.0,10
cubic_2100.txt,19.95329004988,1849.1,1835.0,1871.0,10
cubic_2100.txt,20.41732005104,1848.9,1835.0,1869.0,10
cubic_2100.txt,20.881350052200002,1848.3,1835.0,1863.0,10
cubic_2100.txt,21.34538005336,1847.8,1835.0,1863.0,10
cubic_2100.txt,21.80941005452,1847.1,1835.0,1863.0,10
cubic_2100.txt,22.273440055680002,1847.1,1835.0,1863.0,10
cubic_2100.txt,22.737470056840003,1847.1,1835.0,1863.0,10
cubic_2100.txt,23.201500058,1846.7,1835.0,1863.0,10
cubic_2100.txt,23.66553005916,1845.7,1835.0,1859.0,10
cubic_2100.txt,24.12956006032,1844.2,1835.0,1859.0,10
cubic_2100.txt,24.59359006148,1844.2,1835.0,1859.0,10
cubic_2100.txt,25.057620062639998,1844.2,1835.0,1859.0,10
cubic_2100.txt,25.521650063800003,1842.9,1835.0,1859.0,10
cubic_2100.txt,25.98568006496,1842.8,1835.0,1859.0,10
cubic_2100.txt,26.44971006612,1842.8,1835.0,1859.0,10
cubic_2100.txt,26.91374006728,1842.8,1835.0,1859.0,10
cubic_2100.txt,27.37777006844,1841.8,1834.0,1859.0,10
cubic_2100.txt,27.841800069599998,1841.8,1834.0,1859.0,10
cubic_2100.txt,28.305830070760003,1841.8,1834.0,1859.0,10
cubic_2100.txt,28.769860071920004,1841.8,1834.0,1859.0,10
cubic_2100.txt,29.23389007308,1841.8,1834.0,1859.0,10
cubic_2100.txt,29.697920074240002,1841.8,1834.0,1859.0,10
cubic_2100.txt,30.1619500754,1841.8,1834.0,1859.0,10
cubic_2100.txt,30.625980076559998,1841.8,1834.0,1859.0,10
cubic_2100.txt,31.09001007772,1841.8,1834.0,1859.0,10
cubic_2100.txt,31.554040078880004,1841.8,1834.0,1859.0,10
cubic_2100.txt,32.018070080040005,1840.2,1832.0,1853.0,10
cubic_2100.txt,32.4821000812,1840.2,1832.0,1853.0,10
cubic_2100.txt,32.94613008236,1840.2,1832.0,1853.0,10
cubic_2100.txt,33.41016008352,1840.2,1832.0,1853.0,10
cubic_2100.txt,33.87419008468,1840.2,1832.0,1853.0,10
cubic_2100.txt,34.33822008584,1840.2,1832.0,1853.0,10
cubic_2100.txt,34.802250087000004,1838.6,1832.0,1853.0,10
cubic_2100.txt,35.26628008816,1838.6,1832.0,1853.0,10
cubic_2100.txt,35.73031008932,1838.6,1832.0,1853.0,10
cubic_2100.txt,36.19434009048,1838.6,1832.0,1853.0,10
cubic_2100.txt,36.65837009164,1838.1,1832.0,1853.0,10
cubic_2100.txt,37.1224000928,1837.6,1830.0,1853.0,10
cubic_2100.txt,37.586430093960004,1837.3,1830.0,1853.0,10
cubic_2100.txt,38.05046009512,1837.3,1830.0,1853.0,10
cubic_2100.txt,38.51449009628,1837.3,1830.0,1853.0,10
cubic_2100.txt,38.97852009744,1837.3,1830.0,1853.0,10
cubic_2100.txt,39.4425500986,1837.3,1830.0,1853.0,10
cubic_2100.txt,39.90658009976,1837.3,1830.0,1853.0,10
cubic_2100.txt,40.370610100920004,1836.6,1830.0,1853.0,10
cubic_2100.txt,40.83464010208,1836.5,1829.0,1853.0,10
cubic_2100.txt,41.29867010324,1836.5,1829.0,1853.0,10
cubic_2100.txt,41.762700104400004,1836.5,1829.0,1853.0,10
cubic_2100.txt,42.22673010556,1836.5,1829.0,1853.0,10
cubic_2100.txt,42.69076010672,1836.4,1829.0,1853.0,10
cubic_2100.txt,43.15479010788,1836.4,1829.0,1853.0,10
cubic_2100.txt,43.61882010904,1836.2,1829.0,1853.0,10
cubic_2100.txt,44.0828501102,1836.1,1829.0,1853.0,10
cubic_2100.txt,44.546880111360004,1835.7,1829.0,1853.0,10
cubic_2100.txt,45.01091011252001,1835.7,1829.0,1853.0,10
cubic_2100.txt,45.474940113680006,1835.7,1829.0,1853.0,10
cubic_2100.txt,45.938970114840004,1835.7,1829.0,1853.0,10
cubic_2100.txt,46.403000116,1835.5,1829.0,1851.0,10
cubic_2200.txt,0.0,nan,nan,nan,0
cubic_2200.txt,0.48364000081999997,2432.9,2408.0,2460.0,10
cubic_2200.txt,0.9672800016399999,2432.9,2408.0,2460.0,10
cubic_2200.txt,1.45092000246,2388.8,2348.0,2454.0,10
cubic_2200.txt,1.9345600032799999,2375.8,2348.0,2386.0,10
cubic_2200.txt,2.4182000040999996,2369.8,2348.0,2385.0,10
cubic_2200.txt,2.90184000492,2366.8,2348.0,2376.0,10
cubic_2200.txt,3.3854800057399994,2360.1,2344.0,2376.0,10
cubic_2200.txt,3.8691200065599998,2358.9,2344.0,2373.0,10
cubic_2200.txt,4.35276000738,2354.2,2344.0,2372.0,10
cubic_2200.txt,4.836400008199999,2313.6,1974.0,2366.0,10
cubic_2200.txt,5.3200400090199995,1996.3,1934.0,2360.0,10
cubic_2200.txt,5.80368000984,1954.6,1934.0,1980.0,10
cubic_2200.txt,6.287320010659999,1953.5,1934.0,1980.0,10
cubic_2200.txt,6.770960011479999,1953.5,1934.0,1980.0,10
cubic_2200.txt,7.2546000123,1953.5,1934.0,1980.0,10
cubic_2200.txt,7.7382400131199995,1953.4,1934.0,1980.0,10
cubic_2200.txt,8.22188001394,1953.4,1934.0,1980.0,10
cubic_2200.txt,8.70552001476,1949.5,1932.0,1980.0,10
cubic_2200.txt,9.189160015579999,1948.8,1932.0,1980.0,10
cubic_2200.txt,9.672800016399998,1948.7,1932.0,1980.0,10
cubic_2200.txt,10.15644001722,1945.3,1932.0,1960.0,10
cubic_2200.txt,10.640080018039999,1945.3,1932.0,1960.0,10
cubic_2200.txt,11.123720018859999,1944.0,1932.0,1960.0,10
cubic_2200.txt,11.60736001968,1944.0,1932.0,1960.0,10
cubic_2200.txt,12.091000020499997,1942.1,1932.0,1960.0,10
cubic_2200.txt,12.574640021319999,1941.7,1932.0,1956.0,10
cubic_2200.txt,13.05828002214,1941.7,1932.0,1956.0,10
cubic_2200.txt,13.541920022959998,1941.3,1932.0,1956.0,10
cubic_2200.txt,14.025560023779999,1940.2,1932.0,1956.0,10
cubic_2200.txt,14.5092000246,1940.2,1932.0,1956.0,10
cubic_2200.txt,14.992840025419998,1939.5,1932.0,1954.0,10
cubic_2200.txt,15.476480026239999,1939.5,1932.0,1954.0,10
cubic_2200.txt,15.96012002706,1939.5,1932.0,1954.0,10
cubic_2200.txt,16.44376002788,1939.5,1932.0,1954.0,10
cubic_2200.txt,16.9274000287,1939.5,1932.0,1954.0,10
cubic_2200.txt,17.41104002952,1939.2,1932.0,1954.0,10
cubic_2200.txt,17.894680030339998,1938.3,1931.0,1954.0,10
cubic_2200.txt,18.378320031159998,1936.8,1928.0,1954.0,10
cubic_2200.txt,18.86196003198,1935.5,1928.0,1946.0,10
cubic_2200.txt,19.345600032799997,1935.5,1928.0,1946.0,10
cubic_2200.txt,19.82924003362,1935.3,1928.0,1945.0,10
cubic_2200.txt,20.31288003444,1935.3,1928.0,1945.0,10
cubic_2200.txt,20.796520035260002,1935.3,1928.0,1945.0,10
cubic_2200.txt,21.280160036079998,1934.2,1921.0,1945.0,10
cubic_2200.txt,21.763800036899998,1934.2,1921.0,1945.0,10
cubic_2200.txt,22.247440037719997,1933.0,1921.0,1945.0,10
cubic_2200.txt,22.73108003854,1932.0,1921.0,1945.0,10
cubic_2200.txt,23.21472003936,1932.0,1921.0,1945.0,10
cubic_2200.txt,23.69836004018,1932.0,1921.0,1945.0,10
cubic_2200.txt,24.182000040999995,1932.0,1921.0,1945.0,10
cubic_2200.txt,24.665640041819998,1931.8,1921.0,1944.0,10
cubic_2200.txt,25.149280042639997,1931.8,1921.0,1944.0,10
cubic_2200.txt,25.63292004346,1930.7,1921.0,1944.0,10
cubic_2200.txt,26.11656004428,1930.2,1921.0,1944.0,10
cubic_2200.txt,26.6002000451,1929.0,1920.0,1944.0,10
cubic_2200.txt,27.083840045919995,1929.0,1920.0,1944.0,10
cubic_2200.txt,27.56748004674,1928.4,1920.0,1938.0,10
cubic_2200.txt,28.051120047559998,1928.4,1920.0,1938.0,10
cubic_2200.txt,28.534760048379997,1928.4,1920.0,1938.0,10
cubic_2200.txt,29.0184000492,1928.0,1920.0,1938.0,10
cubic_2200.txt,29.50204005002,1927.4,1920.0,1937.0,10
cubic_2200.txt,29.985680050839996,1927.4,1920.0,1937.0,10
cubic_2200.txt,30.46932005166,1927.4,1920.0,1937.0,10
cubic_2200.txt,30.952960052479998,1927.4,1920.0,1937.0,10
cubic_2200.txt,31.436600053299998,1927.0,1920.0,1934.0,10
cubic_2200.txt,31.92024005412,1927.0,1920.0,1934.0,10
cubic_2200.txt,32.40388005494,1926.4,1920.0,1934.0,10
cubic_2200.txt,32.88752005576,1926.4,1920.0,1934.0,10
cubic_2200.txt,33.371160056579996,1925.9,1920.0,1934.0,10
cubic_2200.txt,33.8548000574,1925.9,1920.0,1934.0,10
cubic_2200.txt,34.33844005822,1924.9,1920.0,1931.0,10
cubic_2200.txt,34.82208005904,1924.6,1917.0,1931.0,10
cubic_2200.txt,35.30572005985999,1924.0,1917.0,1931.0,10
cubic_2200.txt,35.789360060679996,1923.1,1917.0,1931.0,10
cubic_2200.txt,36.2730000615,1923.0,1917.0,1931.0,10
cubic_2200.txt,36.756640062319995,1923.0,1917.0,1931.0,10
cubic_2200.txt,37.24028006314,1923.0,1917.0,1931.0,10
cubic_2200.txt,37.72392006396,1923.0,1917.0,1931.0,10
cubic_2200.txt,38.20756006478,1923.0,1917.0,1931.0,10
cubic_2200.txt,38.69120006559999,1923.0,1917.0,1931.0,10
cubic_2200.txt,39.174840066419996,1923.0,1917.0,1931.0,10
cubic_2200.txt,39.65848006724,1922.9,1917.0,1931.0,10
cubic_2200.txt,40.142120068059995,1922.9,1917.0,1931.0,10
cubic_2200.txt,40.62576006888,1922.9,1917.0,1931.0,10
cubic_2200.txt,41.109400069699994,1920.8,1906.0,1931.0,10
cubic_2200.txt,41.593040070520004,1920.8,1906.0,1931.0,10
cubic_2200.txt,42.07668007134,1920.0,1906.0,1931.0,10
cubic_2200.txt,42.560320072159996,1920.0,1906.0,1931.0,10
cubic_2200.txt,43.04396007298,1920.0,1906.0,1931.0,10
cubic_2200.txt,43.527600073799995,1920.0,1906.0,1931.0,10
cubic_2200.txt,44.01124007462,1919.6,1906.0,1931.0,10
cubic_2200.txt,44.494880075439994,1918.7,1906.0,1929.0,10
cubic_2200.txt,44.978520076260004,1918.7,1906.0,1929.0,10
cubic_2200.txt,45.46216007708,1916.8,1903.0,1929.0,10
cubic_2200.txt,45.945800077899996,1916.8,1903.0,1929.0,10
cubic_2200.txt,46.42944007872,1916.8,1903.0,1929.0,10
cubic_2200.txt,46.913080079539995,1916.8,1903.0,1929.0,10
cubic_2200.txt,47.39672008036,1916.8,1903.0,1929.0,10
cubic_2200.txt,47.880360081179994,1916.8,1903.0,1929.0,10
cubic_2200.txt,48.36400008199999,1916.8,1903.0,1929.0,10
cubic_2300.txt,0.0,nan,nan,nan,0
cubic_2300.txt,0.5176699996,2548.1,2507.0,2604.0,10
cubic_2300.txt,1.0353399992,2548.1,2507.0,2604.0,10
cubic_2300.txt,1.5530099988000001,2487.8,2475.0,2526.0,10
cubic_2300.txt,2.0706799984,2482.8,2475.0,2498.0,10
cubic_2300.txt,2.588349998,2475.3,2468.0,2479.0,10
cubic_2300.txt,3.1060199976000002,2475.3,2468.0,2479.0,10
cubic_2300.txt,3.6236899971999996,2466.2,2451.0,2478.0,10
cubic_2300.txt,4.1413599968,2461.7,2443.0,2477.0,10
cubic_2300.txt,4.6590299964,2454.9,2435.0,2468.0,10
cubic_2300.txt,5.176699996,2295.8,2043.0,2465.0,10
cubic_2300.txt,5.6943699956,2096.3,2035.0,2443.0,10
cubic_2300.txt,6.2120399952000005,2096.3,2035.0,2443.0,10
cubic_2300.txt,6.7297099948,2055.8,2035.0,2079.0,10
cubic_2300.txt,7.247379994399999,2054.9,2035.0,2079.0,10
cubic_2300.txt,7.765049994,2053.8,2035.0,2079.0,10
cubic_2300.txt,8.2827199936,2048.8,2029.0,2075.0,10
cubic_2300.txt,8.8003899932,2045.5,2029.0,2075.0,10
cubic_2300.txt,9.3180599928,2044.2,2029.0,2066.0,10
cubic_2300.txt,9.8357299924,2044.2,2029.0,2066.0,10
cubic_2300.txt,10.353399992,2042.5,2029.0,2062.0,10
cubic_2300.txt,10.8710699916,2039.0,2028.0,2049.0,10
cubic_2300.txt,11.3887399912,2039.0,2028.0,2049.0,10
cubic_2300.txt,11.9064099908,2038.2,2028.0,2049.0,10
cubic_2300.txt,12.424079990400001,2037.2,2028.0,2049.0,10
cubic_2300.txt,12.94174999,2036.4,2028.0,2044.0,10
cubic_2300.txt,13.4594199896,2036.0,2028.0,2042.0,10
cubic_2300.txt,13.9770899892,2036.0,2028.0,2042.0,10
cubic_2300.txt,14.494759988799998,2033.9,2021.0,2042.0,10
cubic_2300.txt,15.0124299884,2033.2,2021.0,2042.0,10
cubic_2300.txt,15.530099988,2032.4,2021.0,2042.0,10
cubic_2300.txt,16.0477699876,2030.9,2021.0,2042.0,10
cubic_2300.txt,16.5654399872,2030.9,2021.0,2042.0,10
cubic_2300.txt,17.0831099868,2029.9,2021.0,2041.0,10
cubic_2300.txt,17.6007799864,2029.9,2021.0,2041.0,10
cubic_2300.txt,18.118449986,2028.8,2019.0,2041.0,10
cubic_2300.txt,18.6361199856,2028.8,2019.0,2041.0,10
cubic_2300.txt,19.1537899852,2027.8,2019.0,2037.0,10
cubic_2300.txt,19.6714599848,2027.8,2019.0,2037.0,10
cubic_2300.txt,20.189129984399997,2027.8,2019.0,2037.0,10
cubic_2300.txt,20.706799984,2027.8,2019.0,2037.0,10
cubic_2300.txt,21.224469983600002,2027.8,2019.0,2037.0,10
cubic_2300.txt,21.7421399832,2027.0,2019.0,2037.0,10
cubic_2300.txt,22.259809982799997,2025.8,2012.0,2037.0,10
cubic_2300.txt,22.7774799824,2024.8,2009.0,2037.0,10
cubic_2300.txt,23.295149981999998,2024.8,2009.0,2037.0,10
cubic_2300.txt,23.8128199816,2024.5,2009.0,2037.0,10
cubic_2300.txt,24.3304899812,2024.3,2009.0,2037.0,10
cubic_2300.txt,24.848159980800002,2024.1,2009.0,2037.0,10
cubic_2300.txt,25.365829980399997,2023.7,2009.0,2037.0,10
cubic_2300.txt,25.88349998,2022.8,2009.0,2037.0,10
cubic_2300.txt,26.4011699796,2022.8,2009.0,2037.0,10
cubic_2300.txt,26.9188399792,2022.5,2009.0,2037.0,10
cubic_2300.txt,27.4365099788,2021.1,2009.0,2037.0,10
cubic_2300.txt,27.9541799784,2020.6,2009.0,2037.0,10
cubic_2300.txt,28.471849978,2020.6,2009.0,2037.0,10
cubic_2300.txt,28.989519977599997,2020.5,2009.0,2037.0,10
cubic_2300.txt,29.5071899772,2019.9,2009.0,2037.0,10
cubic_2300.txt,30.0248599768,2019.9,2009.0,2037.0,10
cubic_2300.txt,30.5425299764,2019.9,2009.0,2037.0,10
cubic_2300.txt,31.060199976,2019.9,2009.0,2037.0,10
cubic_2300.txt,31.577869975600002,2019.9,2009.0,2037.0,10
cubic_2300.txt,32.0955399752,2019.9,2009.0,2037.0,10
cubic_2300.txt,32.6132099748,2019.9,2009.0,2037.0,10
cubic_2300.txt,33.1308799744,2018.0,2001.0,2037.0,10
cubic_2300.txt,33.648549974,2018.0,2001.0,2037.0,10
cubic_2300.txt,34.1662199736,2018.0,2001.0,2037.0,10
cubic_2300.txt,34.683889973199996,2018.0,2001.0,2037.0,10
cubic_2300.txt,35.2015599728,2016.8,2001.0,2037.0,10
cubic_2300.txt,35.7192299724,2016.8,2001.0,2037.0,10
cubic_2300.txt,36.236899972,2016.8,2001.0,2037.0,10
cubic_2300.txt,36.7545699716,2016.8,2001.0,2037.0,10
cubic_2300.txt,37.2722399712,2016.8,2001.0,2037.0,10
cubic_2300.txt,37.7899099708,2016.5,2001.0,2037.0,10
cubic_2300.txt,38.3075799704,2016.3,2001.0,2037.0,10
cubic_2300.txt,38.82524997,2016.3,2001.0,2037.0,10
cubic_2300.txt,39.3429199696,2016.3,2001.0,2037.0,10
cubic_2300.txt,39.8605899692,2016.3,2001.0,2037.0,10
cubic_2300.txt,40.378259968799995,2016.3,2001.0,2037.0,10
cubic_2300.txt,40.8959299684,2016.3,2001.0,2037.0,10
cubic_2300.txt,41.413599968,2016.3,2001.0,2037.0,10
cubic_2300.txt,41.9312699676,2016.3,2001.0,2037.0,10
cubic_2300.txt,42.448939967200005,2016.3,2001.0,2037.0,10
cubic_2300.txt,42.9666099668,2016.3,2001.0,2037.0,10
cubic_2300.txt,43.4842799664,2016.3,2001.0,2037.0,10
cubic_2300.txt,44.001949966000005,2016.3,2001.0,2037.0,10
