instance,run,status,returncode,vertices,edges,density,best,elapsed_seconds,time_to_best_seconds,publications,consultations,shared_reads,stdout_file,stderr_file
cubic_1800.txt,1,ok,0,1800,2700,0.0016675931072818232,1572.0,38.776,22.634,40,211,209,run_logs\cubic_1800.stdout.txt,run_logs\cubic_1800.stderr.txt
cubic_1800.txt,2,ok,0,1800,2700,0.0016675931072818232,1573.0,40.81,7.429,36,212,210,run_logs\cubic_1800.stdout.txt,run_logs\cubic_1800.stderr.txt
cubic_1800.txt,3,ok,0,1800,2700,0.0016675931072818232,1575.0,38.466,19.868,34,211,209,run_logs\cubic_1800.stdout.txt,run_logs\cubic_1800.stderr.txt
cubic_1800.txt,4,ok,0,1800,2700,0.0016675931072818232,1571.0,38.941,37.179,37,211,209,run_logs\cubic_1800.stdout.txt,run_logs\cubic_1800.stderr.txt
cubic_1800.txt,5,ok,0,1800,2700,0.0016675931072818232,1580.0,39.426,36.921,30,212,210,run_logs\cubic_1800.stdout.txt,run_logs\cubic_1800.stderr.txt
cubic_1800.txt,6,ok,0,1800,2700,0.0016675931072818232,1574.0,39.123,32.744,42,211,209,run_logs\cubic_1800.stdout.txt,run_logs\cubic_1800.stderr.txt
cubic_1800.txt,7,ok,0,1800,2700,0.0016675931072818232,1572.0,40.179,32.792,40,211,209,run_logs\cubic_1800.stdout.txt,run_logs\cubic_1800.stderr.txt
cubic_1800.txt,8,ok,0,1800,2700,0.0016675931072818232,1576.0,39.366,27.518,42,211,209,run_logs\cubic_1800.stdout.txt,run_logs\cubic_1800.stderr.txt
cubic_1800.txt,9,ok,0,1800,2700,0.0016675931072818232,1576.0,40.617,22.739,38,212,210,run_logs\cubic_1800.stdout.txt,run_logs\cubic_1800.stderr.txt
cubic_1800.txt,10,ok,0,1800,2700,0.0016675931072818232,1571.0,39.215,17.537,38,211,209,run_logs\cubic_1800.stdout.txt,run_logs\cubic_1800.stderr.txt
cubic_1900.txt,1,ok,0,1900,2850,0.001579778830963665,1664.0,41.168,8.457,40,212,210,run_logs\cubic_1900.stdout.txt,run_logs\cubic_1900.stderr.txt
cubic_1900.txt,2,ok,0,1900,2850,0.001579778830963665,1658.0,40.981,33.913,34,213,211,run_logs\cubic_1900.stdout.txt,run_logs\cubic_1900.stderr.txt
cubic_1900.txt,3,ok,0,1900,2850,0.001579778830963665,1669.0,41.024,40.997,35,212,210,run_logs\cubic_1900.stdout.txt,run_logs\cubic_1900.stderr.txt
cubic_1900.txt,4,ok,0,1900,2850,0.001579778830963665,1659.0,41.403,19.346,38,213,211,run_logs\cubic_1900.stdout.txt,run_logs\cubic_1900.stderr.txt
cubic_1900.txt,5,ok,0,1900,2850,0.001579778830963665,1663.0,41.333,9.368,29,212,210,run_logs\cubic_1900.stdout.txt,run_logs\cubic_1900.stderr.txt
cubic_1900.txt,6,ok,0,1900,2850,0.001579778830963665,1652.0,42.118,35.903,37,212,210,run_logs\cubic_1900.stdout.txt,run_logs\cubic_1900.stderr.txt
cubic_1900.txt,7,ok,0,1900,2850,0.001579778830963665,1667.0,40.978,4.405,32,212,210,run_logs\cubic_1900.stdout.txt,run_logs\cubic_1900.stderr.txt
cubic_1900.txt,8,ok,0,1900,2850,0.001579778830963665,1653.0,42.154,31.095,36,213,211,run_logs\cubic_1900.stdout.txt,run_logs\cubic_1900.stderr.txt
cubic_1900.txt,9,ok,0,1900,2850,0.001579778830963665,1672.0,40.726,8.28,30,213,211,run_logs\cubic_1900.stdout.txt,run_logs\cubic_1900.stderr.txt
cubic_1900.txt,10,ok,0,1900,2850,0.001579778830963665,1660.0,41.254,18.029,40,212,210,run_logs\cubic_1900.stdout.txt,run_logs\cubic_1900.stderr.txt
cubic_200.txt,1,ok,0,200,300,0.01507537688442211,172.0,7.206,3.97,19,178,176,run_logs\cubic_200.stdout.txt,run_logs\cubic_200.stderr.txt
cubic_200.txt,2,ok,0,200,300,0.01507537688442211,170.0,6.901,4.08,17,178,176,run_logs\cubic_200.stdout.txt,run_logs\cubic_200.stderr.txt
cubic_200.txt,3,ok,0,200,300,0.01507537688442211,168.0,7.66,7.658,15,178,176,run_logs\cubic_200.stdout.txt,run_logs\cubic_200.stderr.txt
cubic_200.txt,4,ok,0,200,300,0.01507537688442211,166.0,7.104,6.842,16,178,176,run_logs\cubic_200.stdout.txt,run_logs\cubic_200.stderr.txt
cubic_200.txt,5,ok,0,200,300,0.01507537688442211,173.0,7.417,3.733,18,178,176,run_logs\cubic_200.stdout.txt,run_logs\cubic_200.stderr.txt
cubic_200.txt,6,ok,0,200,300,0.01507537688442211,166.0,7.385,0.719,15,178,176,run_logs\cubic_200.stdout.txt,run_logs\cubic_200.stderr.txt
cubic_200.txt,7,ok,0,200,300,0.01507537688442211,175.0,6.975,3.161,15,178,176,run_logs\cubic_200.stdout.txt,run_logs\cubic_200.stderr.txt
cubic_200.txt,8,ok,0,200,300,0.01507537688442211,170.0,7.283,7.282,15,178,176,run_logs\cubic_200.stdout.txt,run_logs\cubic_200.stderr.txt
cubic_200.txt,9,ok,0,200,300,0.01507537688442211,175.0,7.19,2.272,14,178,176,run_logs\cubic_200.stdout.txt,run_logs\cubic_200.stderr.txt
cubic_200.txt,10,ok,0,200,300,0.01507537688442211,167.0,7.457,6.072,16,178,176,run_logs\cubic_200.stdout.txt,run_logs\cubic_200.stderr.txt
cubic_2000.txt,1,ok,0,2000,3000,0.0015007503751875938,1736.0,42.498,31.401,40,213,211,run_logs\cubic_2000.stdout.txt,run_logs\cubic_2000.stderr.txt
cubic_2000.txt,2,ok,0,2000,3000,0.0015007503751875938,1730.0,43.589,39.711,43,214,212,run_logs\cubic_2000.stdout.txt,run_logs\cubic_2000.stderr.txt
cubic_2000.txt,3,ok,0,2000,3000,0.0015007503751875938,1736.0,47.143,23.137,37,215,213,run_logs\cubic_2000.stdout.txt,run_logs\cubic_2000.stderr.txt
cubic_2000.txt,4,ok,0,2000,3000,0.0015007503751875938,1743.0,43.337,42.43,31,214,212,run_logs\cubic_2000.stdout.txt,run_logs\cubic_2000.stderr.txt
cubic_2000.txt,5,ok,0,2000,3000,0.0015007503751875938,1746.0,44.044,43.261,36,215,213,run_logs\cubic_2000.stdout.txt,run_logs\cubic_2000.stderr.txt
cubic_2000.txt,6,ok,0,2000,3000,0.0015007503751875938,1748.0,42.873,29.967,41,214,212,run_logs\cubic_2000.stdout.txt,run_logs\cubic_2000.stderr.txt
cubic_2000.txt,7,ok,0,2000,3000,0.0015007503751875938,1749.0,43.901,26.052,33,215,213,run_logs\cubic_2000.stdout.txt,run_logs\cubic_2000.stderr.txt
cubic_2000.txt,8,ok,0,2000,3000,0.0015007503751875938,1747.0,43.286,40.497,41,214,212,run_logs\cubic_2000.stdout.txt,run_logs\cubic_2000.stderr.txt
cubic_2000.txt,9,ok,0,2000,3000,0.0015007503751875938,1744.0,42.95,39.383,43,214,212,run_logs\cubic_2000.stdout.txt,run_logs\cubic_2000.stderr.txt
cubic_2000.txt,10,ok,0,2000,3000,0.0015007503751875938,1741.0,42.825,25.301,34,214,212,run_logs\cubic_2000.stdout.txt,run_logs\cubic_2000.stderr.txt
cubic_2100.txt,1,ok,0,2100,3150,0.0014292520247737017,1851.0,46.407,46.403,39,216,214,run_logs\cubic_2100.stdout.txt,run_logs\cubic_2100.stderr.txt
cubic_2100.txt,2,ok,0,2100,3150,0.0014292520247737017,1837.0,44.581,43.713,39,215,213,run_logs\cubic_2100.stdout.txt,run_logs\cubic_2100.stderr.txt
cubic_2100.txt,3,ok,0,2100,3150,0.0014292520247737017,1834.0,45.543,42.638,36,216,214,run_logs\cubic_2100.stdout.txt,run_logs\cubic_2100.stderr.txt
cubic_2100.txt,4,ok,0,2100,3150,0.0014292520247737017,1836.0,45.46,43.598,35,216,214,run_logs\cubic_2100.stdout.txt,run_logs\cubic_2100.stderr.txt
cubic_2100.txt,5,ok,0,2100,3150,0.0014292520247737017,1834.0,45.854,27.216,40,216,214,run_logs\cubic_2100.stdout.txt,run_logs\cubic_2100.stderr.txt
cubic_2100.txt,6,ok,0,2100,3150,0.0014292520247737017,1836.0,45.582,25.102,33,216,214,run_logs\cubic_2100.stdout.txt,run_logs\cubic_2100.stderr.txt
cubic_2100.txt,7,ok,0,2100,3150,0.0014292520247737017,1830.0,45.479,40.146,50,216,214,run_logs\cubic_2100.stdout.txt,run_logs\cubic_2100.stderr.txt
cubic_2100.txt,8,ok,0,2100,3150,0.0014292520247737017,1829.0,45.204,40.607,36,215,213,run_logs\cubic_2100.stdout.txt,run_logs\cubic_2100.stderr.txt
cubic_2100.txt,9,ok,0,2100,3150,0.0014292520247737017,1832.0,47.384,31.625,43,217,215,run_logs\cubic_2100.stdout.txt,run_logs\cubic_2100.stderr.txt
cubic_2100.txt,10,ok,0,2100,3150,0.0014292520247737017,1836.0,45.983,44.091,33,217,215,run_logs\cubic_2100.stdout.txt,run_logs\cubic_2100.stderr.txt
cubic_2200.txt,1,ok,0,2200,3300,0.001364256480218281,1919.0,47.874,35.396,44,217,215,run_logs\cubic_2200.stdout.txt,run_logs\cubic_2200.stderr.txt
